代码,名称,最新价,涨跌幅,今日主力净流入-净额,今日主力净流入-净占比,今日小单净流入-净占比,筛选维度,入选理由
300424,航新科技,18.45,0.4902,28374499.99999999,8.745590445680767,-6.175528193578901,A:机构锁仓,"小盘锁仓(市值45.3亿): 主力8.745590445680767%, 小单-6.175528193578901%"
300680,隆盛科技,53.73,2.2844,93489599.99999999,8.743267609544466,-7.567115861778791,A:机构锁仓,"中盘锁仓(市值94.5亿): 主力8.743267609544466%, 小单-7.567115861778791%"
002987,京北方,20.8,1.9108,72775599.99999999,8.716941766489189,-9.847793186550009,A:机构锁仓,"中盘锁仓(市值175.5亿): 主力8.716941766489189%, 小单-9.847793186550009%"
300870,欧陆通,232.9,2.6805,133940899.99999994,8.695468653004262,-9.091851856003856,"A:机构锁仓,B:低位起爆","涨幅2.6805%, 主力流入13394万, 昨日流出-13666万 | 中盘锁仓(市值255.9亿): 主力8.695468653004262%, 小单-9.091851856003856%"
002530,金财互联,10.5,1.7442,31841999.99999998,8.689475691658394,-6.8946276742095485,A:机构锁仓,"中盘锁仓(市值73.0亿): 主力8.689475691658394%, 小单-6.8946276742095485%"
002902,铭普光磁,23.52,-0.5497,21837200.000000004,8.682875134981547,-5.3146884177781,"A:机构锁仓,B:低位起爆","涨幅-0.5497%, 主力流入2184万, 昨日流出-1448万 | 小盘锁仓(市值41.8亿): 主力8.682875134981547%, 小单-5.3146884177781%"
002979,雷赛智能,41.62,3.5323,32048200.000000007,8.634952737373675,-5.4650330864977645,A:机构锁仓,"中盘锁仓(市值92.0亿): 主力8.634952737373675%, 小单-5.4650330864977645%"
001267,汇绿生态,21.48,0.0932,68628600.0,8.618173092270517,-15.60140910644959,A:机构锁仓,"中盘锁仓(市值130.2亿): 主力8.618173092270517%, 小单-15.60140910644959%"
300674,宇信科技,23.13,2.2999,41078799.99999999,8.612537754019522,-8.066439107323548,A:机构锁仓,"中盘锁仓(市值162.6亿): 主力8.612537754019522%, 小单-8.066439107323548%"
605155,西大门,17.2,3.9903,22531200.0,8.569490408181618,-6.909197282256891,A:机构锁仓,"小盘锁仓(市值32.7亿): 主力8.569490408181618%, 小单-6.909197282256891%"
601366,利群股份,5.11,-2.6667,29285300.000000004,8.536005670449683,-6.072962603913438,A:机构锁仓,"小盘锁仓(市值46.7亿): 主力8.536005670449683%, 小单-6.072962603913438%"
300539,横河精密,40.87,5.3079,59080699.99999998,8.528326007699237,-7.494098292940232,A:机构锁仓,"中盘锁仓(市值70.5亿): 主力8.528326007699237%, 小单-7.494098292940232%"
